"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 14:36:00 CST 2020","Thu Sep 10 14:36:00 CST 2020","150","testcase.fpt.fpt-rhqz","test_fpt_rhqz","","","","kj_b_01@蓝票_一行明细",""
"passed","Thu Sep 10 14:36:00 CST 2020","Thu Sep 10 14:36:00 CST 2020","156","testcase.fpt.fpt-rhqz","test_fpt_rhqz","","","","kj_r_02@红票_一行明细",""
