"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 13:45:46 CST 2020","Thu Aug 27 13:45:46 CST 2020","277","testcase.fpt","test_fpt_rhqz","","","","kj_r_02@红票_一行明细",""
"passed","Thu Aug 27 13:45:45 CST 2020","Thu Aug 27 13:45:46 CST 2020","290","testcase.fpt","test_fpt_rhqz","","","","kj_b_01@蓝票_一行明细",""
